date,transaction amount,inflow or outflow,bank account name,transaction name,refrence ID,categroy
2025-06-16,224881.45,inflow,Kotak - Vendor Payments,Hotel Supply Invoice,FOOD-597AD652,client fees
2025-06-22,57626.1,outflow,SBI - Payroll Account,Wheat Flour,FOOD-00014AF0,raw materials
2025-08-26,333992.81,inflow,Kotak - Vendor Payments,Bulk Buyer Payment,FOOD-3ABF97FD,client fees
2026-01-10,174457.91,outflow,SBI - Payroll Account,Plastic Containers,FOOD-D14ED45A,raw materials
2025-08-28,130130.91,outflow,ICICI - Procurement Account,Cocoa Powder,FOOD-D2CBA5D6,raw materials
2025-03-29,60448.36,outflow,HDFC - Operations Account,Refrigeration Maintenance,FOOD-08A6A90B,operational cost
2025-08-16,121303.87,outflow,Axis - Sales Collection Account,Sugar,FOOD-5F54AAF2,raw materials
2025-09-05,19411.04,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-C2C058E7,workforce
2025-04-23,110066.68,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-2AF17034,workforce
2025-04-14,8053.68,outflow,SBI - Payroll Account,Equipment Maintenance,FOOD-79DF68B6,operational cost
2025-09-12,65982.05,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-2EB2FEBB,workforce
2025-08-08,156052.94,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-06865192,client fees
2025-08-12,56911.08,outflow,HDFC - Operations Account,Food Additives,FOOD-5C70D27C,raw materials
2025-03-22,35342.06,outflow,Kotak - Vendor Payments,Cold Storage Electricity Bill,FOOD-F76D4DF1,operational cost
2025-06-03,303411.02,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-87414551,client fees
2025-08-20,19958.49,outflow,ICICI - Procurement Account,Overtime Payments,FOOD-B67EC282,workforce
2025-05-01,8454.69,outflow,ICICI - Procurement Account,Sugar,FOOD-EE7D243F,raw materials
2025-09-13,85303.44,outflow,ICICI - Procurement Account,Packaging Staff Payroll,FOOD-0F529C9C,workforce
2025-10-17,79655.53,inflow,SBI - Payroll Account,Retail Chain Order Payment,FOOD-6BD3A2DE,client fees
2025-02-02,77565.48,outflow,ICICI - Procurement Account,Factory Worker Payroll,FOOD-1ADD7EE3,workforce
2025-11-12,40918.22,outflow,HDFC - Operations Account,Line Supervisor Salary,FOOD-BF46ADA1,workforce
2025-08-29,82624.25,outflow,Axis - Sales Collection Account,Line Supervisor Salary,FOOD-F7089C7A,workforce
2025-11-06,43267.27,outflow,SBI - Payroll Account,Cold Storage Electricity Bill,FOOD-6BC2F629,operational cost
2025-11-10,60154.0,outflow,HDFC - Operations Account,Equipment Maintenance,FOOD-532F76AF,operational cost
2025-05-23,217596.84,inflow,SBI - Payroll Account,Bulk Buyer Payment,FOOD-EA02E285,client fees
2025-10-29,75169.5,outflow,HDFC - Operations Account,Equipment Maintenance,FOOD-A93F31BA,operational cost
2025-11-25,153805.61,outflow,Axis - Sales Collection Account,Plastic Containers,FOOD-DEAB50AD,raw materials
2025-06-10,121656.39,outflow,SBI - Payroll Account,Cocoa Powder,FOOD-63B5ED45,raw materials
2025-12-19,15076.25,outflow,Kotak - Vendor Payments,Factory Worker Payroll,FOOD-F47C8445,workforce
2025-06-19,108683.9,outflow,Axis - Sales Collection Account,Line Supervisor Salary,FOOD-ACF95C48,workforce
2025-09-11,24946.21,outflow,SBI - Payroll Account,Cold Storage Electricity Bill,FOOD-450B6306,operational cost
2025-12-22,85934.53,outflow,HDFC - Operations Account,Cold Chain Logistics,FOOD-931761C7,operational cost
2025-08-17,101744.14,inflow,Axis - Sales Collection Account,Hotel Supply Invoice,FOOD-AE180226,client fees
2026-01-11,95418.73,inflow,Kotak - Vendor Payments,Export Order Receipt,FOOD-C0B9AA91,client fees
2025-03-06,97423.5,outflow,Axis - Sales Collection Account,Packaging Staff Payroll,FOOD-D7A0C2E6,workforce
2025-06-13,69980.06,inflow,Kotak - Vendor Payments,Distributor Settlement,FOOD-CF16C371,client fees
2025-12-17,168840.57,inflow,Axis - Sales Collection Account,Bulk Buyer Payment,FOOD-38FC798F,client fees
2025-06-03,210402.22,inflow,Axis - Sales Collection Account,Bulk Buyer Payment,FOOD-08983A19,client fees
2025-12-14,79085.72,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-7DC765CB,workforce
2025-04-14,152086.33,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-DBC3C5AE,client fees
2025-11-01,82467.81,outflow,HDFC - Operations Account,Plant Cleaning & Sanitation,FOOD-B222250E,operational cost
2025-05-30,37031.06,outflow,ICICI - Procurement Account,Factory Power Charges,FOOD-9F9F82B3,operational cost
2026-01-03,65155.54,outflow,ICICI - Procurement Account,Factory Worker Payroll,FOOD-48F64A9A,workforce
2025-10-08,62569.18,outflow,SBI - Payroll Account,Factory Worker Payroll,FOOD-A3738C05,workforce
2025-03-29,108313.01,outflow,HDFC - Operations Account,Carton Boxes,FOOD-9BB743F6,raw materials
2025-07-29,24484.15,outflow,ICICI - Procurement Account,Salt,FOOD-AF46CB0F,raw materials
2025-07-12,53122.65,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-89283884,workforce
2025-10-19,102188.32,outflow,Axis - Sales Collection Account,Edible Oil,FOOD-BC115B29,raw materials
2025-05-06,62147.87,outflow,Kotak - Vendor Payments,Factory Worker Payroll,FOOD-F14A2894,workforce
2025-03-30,112120.12,outflow,Axis - Sales Collection Account,Packaging Staff Payroll,FOOD-6C8B37A2,workforce
2025-08-07,117692.3,outflow,Axis - Sales Collection Account,Factory Worker Payroll,FOOD-D7D8C8DB,workforce
2025-06-16,49205.52,outflow,ICICI - Procurement Account,Factory Power Charges,FOOD-F7825262,operational cost
2025-11-16,15295.67,outflow,Kotak - Vendor Payments,Quality Inspection Charges,FOOD-2E8BB291,operational cost
2025-12-17,51006.31,outflow,HDFC - Operations Account,Line Supervisor Salary,FOOD-8F26DC90,workforce
2025-11-25,94015.38,outflow,ICICI - Procurement Account,Factory Worker Payroll,FOOD-5CB763C6,workforce
2025-10-11,89810.21,outflow,HDFC - Operations Account,Plant Cleaning & Sanitation,FOOD-1FBB5B60,operational cost
2025-05-06,164008.71,outflow,Axis - Sales Collection Account,Cocoa Powder,FOOD-D46BF115,raw materials
2025-06-22,33951.82,outflow,Axis - Sales Collection Account,Carton Boxes,FOOD-29D4C81B,raw materials
2025-05-18,126883.6,outflow,SBI - Payroll Account,Packaging Film,FOOD-A57E5A5F,raw materials
2025-06-04,144105.58,outflow,SBI - Payroll Account,Spices Mix,FOOD-9093F88C,raw materials
2025-05-11,46132.75,outflow,ICICI - Procurement Account,Plant Cleaning & Sanitation,FOOD-9E0CE61E,operational cost
2025-07-30,9059.02,outflow,Axis - Sales Collection Account,Rice,FOOD-AB530AF7,raw materials
2025-02-04,128186.73,outflow,Kotak - Vendor Payments,Cocoa Powder,FOOD-F5E6619C,raw materials
2025-10-12,276098.75,inflow,ICICI - Procurement Account,Distributor Settlement,FOOD-BC810930,client fees
2025-02-08,50991.43,outflow,ICICI - Procurement Account,Refrigeration Maintenance,FOOD-C50BEA0C,operational cost
2025-12-27,159660.17,outflow,ICICI - Procurement Account,Maize,FOOD-409687F2,raw materials
2025-06-25,165072.3,outflow,HDFC - Operations Account,Spices Mix,FOOD-D6DEFEC8,raw materials
2025-08-02,279683.99,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-5C90473B,client fees
2025-10-16,113124.49,outflow,Kotak - Vendor Payments,Food Additives,FOOD-1CB4F09E,raw materials
2025-12-21,273191.86,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-B18D5CA1,client fees
2025-10-04,41299.97,outflow,Axis - Sales Collection Account,Water Treatment Charges,FOOD-F4BA76A3,operational cost
2026-01-21,331444.06,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-0BF9D58B,client fees
2025-06-26,5721.15,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-C0A28433,operational cost
2025-06-07,241672.17,inflow,Axis - Sales Collection Account,Retail Chain Order Payment,FOOD-AA6C96C2,client fees
2025-03-10,9040.9,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-3C809058,operational cost
2025-05-18,21096.36,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-EBC4A0C8,client fees
2026-01-05,247711.08,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-79B892E2,client fees
2025-04-05,313062.45,outflow,Axis - Sales Collection Account,Export Order Receipt,FOOD-717CBF5D,client fees
2025-12-19,71292.11,outflow,SBI - Payroll Account,Equipment Maintenance,FOOD-591CA18F,operational cost
2025-11-27,25595.36,outflow,Kotak - Vendor Payments,Wheat Flour,FOOD-0ABB36CC,raw materials
2025-05-17,238633.09,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-5F463852,client fees
2025-08-05,77205.11,outflow,ICICI - Procurement Account,Packaging Staff Payroll,FOOD-3D2E4031,workforce
2025-12-17,212911.22,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-83577CB0,client fees
2026-01-26,65829.45,outflow,SBI - Payroll Account,Rice,FOOD-421CF71B,raw materials
2025-07-08,38774.16,outflow,Axis - Sales Collection Account,Cocoa Powder,FOOD-9E19AC18,raw materials
2025-05-07,206333.9,inflow,SBI - Payroll Account,Export Order Receipt,FOOD-F3E6C260,client fees
2025-08-25,129462.96,outflow,SBI - Payroll Account,Preservatives,FOOD-ACEAF3AF,raw materials
2025-06-07,47492.98,outflow,HDFC - Operations Account,Packaging Staff Payroll,FOOD-6CEA8041,workforce
2025-08-05,213897.29,inflow,SBI - Payroll Account,Distributor Settlement,FOOD-3B38202B,client fees
2025-02-09,38503.77,outflow,ICICI - Procurement Account,Quality Inspection Charges,FOOD-85CAFF2F,operational cost
2025-05-02,71285.75,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-21C0AB65,client fees
2025-09-21,33487.73,outflow,ICICI - Procurement Account,Spices Mix,FOOD-C844D11B,raw materials
2025-07-22,94046.97,outflow,Axis - Sales Collection Account,Factory Worker Payroll,FOOD-BD7D7BA8,workforce
2025-11-05,119533.92,outflow,Kotak - Vendor Payments,Plastic Containers,FOOD-6C18F36A,raw materials
2025-12-30,94721.25,outflow,Axis - Sales Collection Account,Factory Worker Payroll,FOOD-DF5ACB4D,workforce
2025-02-21,38268.61,outflow,ICICI - Procurement Account,Edible Oil,FOOD-3FE84979,raw materials
2025-06-02,119113.68,outflow,SBI - Payroll Account,Plastic Containers,FOOD-F39735E4,raw materials
2025-10-30,14956.93,outflow,Kotak - Vendor Payments,Factory Power Charges,FOOD-5423BDDD,operational cost
2025-09-07,28739.59,outflow,ICICI - Procurement Account,Plastic Containers,FOOD-2571A201,raw materials
2025-07-02,71661.44,outflow,HDFC - Operations Account,Sugar,FOOD-F85DD626,raw materials
2025-11-02,40535.77,outflow,SBI - Payroll Account,Cold Storage Electricity Bill,FOOD-4C5054E9,operational cost
2025-05-03,66766.79,outflow,ICICI - Procurement Account,Quality Inspection Charges,FOOD-842FE4F5,operational cost
2025-11-04,26139.39,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-38CAFFE3,workforce
2025-07-01,17804.03,outflow,Axis - Sales Collection Account,Plant Cleaning & Sanitation,FOOD-15DA6E61,operational cost
2026-01-04,85379.6,outflow,Kotak - Vendor Payments,Line Supervisor Salary,FOOD-98F86097,workforce
2025-03-07,83155.54,outflow,SBI - Payroll Account,Overtime Payments,FOOD-14E6150E,workforce
2025-11-22,130409.38,inflow,HDFC - Operations Account,Distributor Settlement,FOOD-FE00EF93,client fees
2025-02-24,122176.14,outflow,Kotak - Vendor Payments,Spices Mix,FOOD-045D4A79,raw materials
2025-05-28,44336.63,outflow,ICICI - Procurement Account,Edible Oil,FOOD-7047DE3E,raw materials
2025-02-21,105062.16,outflow,Axis - Sales Collection Account,Factory Worker Payroll,FOOD-7CF49236,workforce
2025-08-18,20326.79,outflow,SBI - Payroll Account,Wheat Flour,FOOD-A7A1D714,raw materials
2025-07-20,15619.4,outflow,Kotak - Vendor Payments,Refrigeration Maintenance,FOOD-BB4ED71B,operational cost
2025-12-22,77018.95,outflow,ICICI - Procurement Account,Sugar,FOOD-526CBBD5,raw materials
2025-04-27,49678.04,outflow,Axis - Sales Collection Account,Rice,FOOD-CCB4116F,raw materials
2025-03-16,85006.58,outflow,Axis - Sales Collection Account,Plant Cleaning & Sanitation,FOOD-A4C5B540,operational cost
2025-03-22,29849.26,outflow,HDFC - Operations Account,Equipment Maintenance,FOOD-D2575FFB,operational cost
2025-02-21,160433.73,outflow,Kotak - Vendor Payments,Wheat Flour,FOOD-8B40EA4F,raw materials
2025-09-07,121070.69,outflow,Kotak - Vendor Payments,Rice,FOOD-367FF1B8,raw materials
2025-08-30,8103.54,outflow,HDFC - Operations Account,Factory Power Charges,FOOD-D4DDF9C5,operational cost
2025-02-14,79658.38,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-55B8A078,operational cost
2025-04-10,103259.09,outflow,Axis - Sales Collection Account,Food Additives,FOOD-F2A6F058,raw materials
2025-08-15,81765.73,outflow,HDFC - Operations Account,Cold Storage Electricity Bill,FOOD-D6EB4281,operational cost
2025-02-28,121895.4,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-733C808F,client fees
2025-10-23,32948.05,outflow,Kotak - Vendor Payments,Cold Storage Electricity Bill,FOOD-B5F7263D,operational cost
2026-01-16,102190.77,outflow,ICICI - Procurement Account,Spices Mix,FOOD-AC2A9FB4,raw materials
2025-10-08,52397.7,outflow,Kotak - Vendor Payments,Spices Mix,FOOD-8176B677,raw materials
2025-05-04,22659.44,outflow,HDFC - Operations Account,Preservatives,FOOD-604428F7,raw materials
2025-04-28,53907.84,outflow,HDFC - Operations Account,Cold Chain Logistics,FOOD-082ED2E8,operational cost
2025-04-01,33227.52,outflow,Axis - Sales Collection Account,Packaging Staff Payroll,FOOD-CF00DF25,workforce
2025-02-25,23715.27,outflow,HDFC - Operations Account,Refrigeration Maintenance,FOOD-E6A5472F,operational cost
2025-11-28,160718.06,outflow,Kotak - Vendor Payments,Salt,FOOD-7AA6AC8C,raw materials
2025-03-02,51295.38,outflow,HDFC - Operations Account,Cocoa Powder,FOOD-78CF3E46,raw materials
2025-06-09,3696.35,outflow,SBI - Payroll Account,Equipment Maintenance,FOOD-E95C3F7A,operational cost
2026-01-10,188813.6,inflow,ICICI - Procurement Account,Retail Chain Order Payment,FOOD-8999D534,client fees
2025-07-27,115070.06,outflow,SBI - Payroll Account,Factory Worker Payroll,FOOD-907D5507,workforce
2025-06-01,102759.69,outflow,ICICI - Procurement Account,Overtime Payments,FOOD-27633615,workforce
2025-11-05,229907.56,inflow,HDFC - Operations Account,Distributor Settlement,FOOD-8D77BD79,client fees
2025-09-09,40420.21,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-62D971F6,workforce
2025-12-29,25176.34,outflow,HDFC - Operations Account,Cold Storage Electricity Bill,FOOD-78214CB6,operational cost
2025-04-11,83345.5,inflow,Kotak - Vendor Payments,Hotel Supply Invoice,FOOD-77FC4AF5,client fees
2026-01-26,20531.46,outflow,ICICI - Procurement Account,Cold Storage Electricity Bill,FOOD-D4AE0A33,operational cost
2025-03-29,107736.91,outflow,ICICI - Procurement Account,Packaging Staff Payroll,FOOD-E5561240,workforce
2025-06-21,54210.46,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-F40A180E,workforce
2025-05-06,107116.94,outflow,SBI - Payroll Account,Line Supervisor Salary,FOOD-8BF5D6EA,workforce
2025-05-11,193471.79,inflow,ICICI - Procurement Account,Bulk Buyer Payment,FOOD-CDAD077E,client fees
2025-02-06,74495.77,outflow,HDFC - Operations Account,Packaging Staff Payroll,FOOD-7C85B828,workforce
2025-06-22,154964.15,inflow,SBI - Payroll Account,Export Order Receipt,FOOD-5C1020C3,client fees
2025-08-10,29404.77,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-64C3DF29,workforce
2026-01-30,227938.53,inflow,HDFC - Operations Account,Distributor Settlement,FOOD-29048AA9,client fees
2025-03-03,55089.41,outflow,SBI - Payroll Account,Factory Power Charges,FOOD-759824FB,operational cost
2025-10-19,145183.28,outflow,ICICI - Procurement Account,Plastic Containers,FOOD-E26F6788,raw materials
2025-07-02,58836.07,outflow,ICICI - Procurement Account,Rice,FOOD-A238C4C6,raw materials
2025-03-11,78447.05,outflow,SBI - Payroll Account,Factory Worker Payroll,FOOD-313E0646,workforce
2025-04-29,73754.7,outflow,Axis - Sales Collection Account,Wheat Flour,FOOD-AE01A1F4,raw materials
2025-04-13,63582.37,outflow,SBI - Payroll Account,Plant Cleaning & Sanitation,FOOD-68AE13D0,operational cost
2025-02-13,133177.82,inflow,HDFC - Operations Account,Bulk Buyer Payment,FOOD-3D2012C3,client fees
2025-06-11,172083.12,outflow,SBI - Payroll Account,Milk Powder,FOOD-E221F885,raw materials
2025-03-13,195678.38,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-8F0F51D3,client fees
2025-04-30,342043.93,inflow,SBI - Payroll Account,Bulk Buyer Payment,FOOD-65700A5C,client fees
2025-04-14,16822.07,outflow,Axis - Sales Collection Account,Packaging Staff Payroll,FOOD-89E329B7,workforce
2025-02-09,76191.65,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-B50343EF,workforce
2025-11-14,28760.82,outflow,Kotak - Vendor Payments,Equipment Maintenance,FOOD-FEF480FF,operational cost
2025-11-04,279811.3,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-989B0D2A,client fees
2025-06-20,75115.47,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-4E45D821,operational cost
2026-01-25,33293.33,outflow,Kotak - Vendor Payments,Factory Power Charges,FOOD-362E3BFD,operational cost
2025-06-12,100811.06,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-F819BFAE,workforce
2025-09-04,210130.76,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-11A13007,client fees
2025-10-20,30772.65,outflow,Axis - Sales Collection Account,Plant Cleaning & Sanitation,FOOD-2B3A0D60,operational cost
2025-02-14,247221.79,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-2BC178E7,client fees
2025-04-05,192264.84,inflow,ICICI - Procurement Account,Distributor Settlement,FOOD-EFB5D00E,client fees
2026-01-29,13477.28,outflow,HDFC - Operations Account,Factory Power Charges,FOOD-A6067CD4,operational cost
2025-07-30,41527.14,outflow,ICICI - Procurement Account,Factory Worker Payroll,FOOD-C268C2AB,workforce
2025-02-20,54447.42,outflow,HDFC - Operations Account,Temporary Labour Wages,FOOD-FBF06456,workforce
2025-12-26,34191.32,outflow,HDFC - Operations Account,Line Supervisor Salary,FOOD-227376EB,workforce
2025-10-20,11855.61,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-933977CC,operational cost
2025-06-02,89190.19,outflow,HDFC - Operations Account,Cold Chain Logistics,FOOD-18473B2D,operational cost
2025-05-19,28963.97,outflow,SBI - Payroll Account,Water Treatment Charges,FOOD-24383E7B,operational cost
2025-12-14,168984.19,inflow,Kotak - Vendor Payments,Export Order Receipt,FOOD-0768408E,client fees
2025-10-17,81286.55,outflow,SBI - Payroll Account,Plant Cleaning & Sanitation,FOOD-32FD28E0,operational cost
2026-01-13,58712.65,outflow,HDFC - Operations Account,Cold Storage Electricity Bill,FOOD-912D6201,operational cost
2025-11-15,18800.9,outflow,HDFC - Operations Account,Plant Cleaning & Sanitation,FOOD-1951F800,operational cost
2025-03-18,17136.55,outflow,HDFC - Operations Account,Factory Power Charges,FOOD-2870C494,operational cost
2026-01-21,219275.05,inflow,Axis - Sales Collection Account,Bulk Buyer Payment,FOOD-2D07DDBD,client fees
2025-05-21,302681.4,inflow,HDFC - Operations Account,Retail Chain Order Payment,FOOD-EC3E5F16,client fees
2026-01-10,51304.93,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-ACE5139C,client fees
2025-10-19,53985.62,outflow,Axis - Sales Collection Account,Wheat Flour,FOOD-577EF6AF,raw materials
2025-05-11,190885.27,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-CF872DA3,client fees
2025-07-12,47499.83,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-C3FB0638,client fees
2025-11-15,176322.92,outflow,ICICI - Procurement Account,Preservatives,FOOD-B227586A,raw materials
2025-03-23,22901.49,outflow,SBI - Payroll Account,Carton Boxes,FOOD-20E221CC,raw materials
2025-02-14,70114.95,outflow,ICICI - Procurement Account,Cold Storage Electricity Bill,FOOD-B2207565,operational cost
2025-08-18,270214.52,inflow,ICICI - Procurement Account,Distributor Settlement,FOOD-EFB510D8,client fees
2025-07-13,56074.71,outflow,Axis - Sales Collection Account,Plant Cleaning & Sanitation,FOOD-442F5CC1,operational cost
2025-12-05,262072.56,inflow,Axis - Sales Collection Account,Retail Chain Order Payment,FOOD-98790F7B,client fees
2026-01-17,73521.14,outflow,HDFC - Operations Account,Packaging Staff Payroll,FOOD-31000FC7,workforce
2025-07-27,44866.02,outflow,Kotak - Vendor Payments,Cold Chain Logistics,FOOD-827D1A3C,operational cost
2025-10-03,83820.73,outflow,Kotak - Vendor Payments,Overtime Payments,FOOD-ED5F6F5D,workforce
2025-07-02,16012.58,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-65394077,workforce
2025-04-21,158130.19,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-34D27D15,client fees
2025-05-04,62769.16,outflow,ICICI - Procurement Account,Food Additives,FOOD-4661D66C,raw materials
2025-09-19,117299.69,outflow,SBI - Payroll Account,Plastic Containers,FOOD-D4BF77AD,raw materials
2025-03-08,80580.7,outflow,Kotak - Vendor Payments,Maize,FOOD-D77741EA,raw materials
2026-02-01,36868.77,outflow,HDFC - Operations Account,Spices Mix,FOOD-D8D9B233,raw materials
2025-04-05,59656.08,outflow,Axis - Sales Collection Account,Carton Boxes,FOOD-8B634062,raw materials
2025-11-02,34079.11,outflow,ICICI - Procurement Account,Rice,FOOD-DBBFB90E,raw materials
2025-12-24,6867.17,outflow,Axis - Sales Collection Account,Water Treatment Charges,FOOD-64B90931,operational cost
2025-10-07,88811.42,outflow,ICICI - Procurement Account,Refrigeration Maintenance,FOOD-E8D27C1A,operational cost
2025-05-07,31371.77,outflow,Axis - Sales Collection Account,Water Treatment Charges,FOOD-68DA205E,operational cost
2025-04-12,3062.33,outflow,HDFC - Operations Account,Quality Inspection Charges,FOOD-390D4F3F,operational cost
2025-03-22,40015.53,outflow,ICICI - Procurement Account,Cold Chain Logistics,FOOD-4CEBCAAF,operational cost
2025-07-14,124289.73,outflow,SBI - Payroll Account,Packaging Film,FOOD-2DCB3DBC,raw materials
2025-09-16,315413.27,inflow,ICICI - Procurement Account,Export Order Receipt,FOOD-E2A2A650,client fees
2025-07-25,77378.42,outflow,Axis - Sales Collection Account,Sugar,FOOD-C91D4FF0,raw materials
2025-07-15,59881.35,outflow,Kotak - Vendor Payments,Equipment Maintenance,FOOD-69F24775,operational cost
2025-07-24,318908.11,inflow,SBI - Payroll Account,Distributor Settlement,FOOD-57CF9C07,client fees
2025-07-23,118438.9,outflow,Kotak - Vendor Payments,Factory Worker Payroll,FOOD-F369D24E,workforce
2025-09-16,101338.7,outflow,Kotak - Vendor Payments,Plastic Containers,FOOD-2055E125,raw materials
2025-12-30,154262.79,inflow,Kotak - Vendor Payments,Bulk Buyer Payment,FOOD-BEAFEE9D,client fees
2025-07-07,85939.87,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-B8151A5C,workforce
2025-05-29,18562.92,outflow,SBI - Payroll Account,Food Additives,FOOD-6AADB2B0,raw materials
2025-06-07,84711.14,inflow,Axis - Sales Collection Account,Hotel Supply Invoice,FOOD-30DF9F5D,client fees
2025-12-09,38956.63,outflow,Kotak - Vendor Payments,Line Supervisor Salary,FOOD-AFCB16E6,workforce
2025-12-20,169213.76,outflow,SBI - Payroll Account,Rice,FOOD-E5F6B454,raw materials
2025-03-19,45936.64,outflow,Kotak - Vendor Payments,Packaging Staff Payroll,FOOD-84EDED6C,workforce
2025-10-08,9454.21,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-920B82AC,operational cost
2025-08-17,108983.85,outflow,Axis - Sales Collection Account,Factory Worker Payroll,FOOD-FE1F2ABD,workforce
2025-10-08,177035.83,outflow,SBI - Payroll Account,Wheat Flour,FOOD-3A2614A8,raw materials
2026-01-20,61730.42,outflow,Kotak - Vendor Payments,Cold Storage Electricity Bill,FOOD-1C7F9EC9,operational cost
2025-02-05,8929.4,outflow,Axis - Sales Collection Account,Refrigeration Maintenance,FOOD-FE6F6E9C,operational cost
2025-03-03,5618.76,outflow,ICICI - Procurement Account,Equipment Maintenance,FOOD-D71ED802,operational cost
2025-02-12,89761.61,outflow,Axis - Sales Collection Account,Refrigeration Maintenance,FOOD-7A9EBF9C,operational cost
2025-06-26,89257.79,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-101FB315,operational cost
2025-04-16,71147.98,outflow,HDFC - Operations Account,Refrigeration Maintenance,FOOD-AB1DCCE9,operational cost
2025-07-25,215070.47,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-0685CB35,client fees
2025-02-02,34715.23,outflow,ICICI - Procurement Account,Cold Storage Electricity Bill,FOOD-E589C7CB,operational cost
2026-01-21,60440.63,outflow,HDFC - Operations Account,Cold Chain Logistics,FOOD-99232240,operational cost
2025-09-05,125687.12,outflow,Axis - Sales Collection Account,Wheat Flour,FOOD-30D9275B,raw materials
2025-12-23,225492.37,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-9ACEE6DC,client fees
2026-01-09,5572.37,outflow,Kotak - Vendor Payments,Water Treatment Charges,FOOD-22B37349,operational cost
2025-06-28,143726.78,outflow,Axis - Sales Collection Account,Wheat Flour,FOOD-72A3F43D,raw materials
2025-03-08,29618.08,outflow,HDFC - Operations Account,Packaging Staff Payroll,FOOD-3BA9B6A5,workforce
2026-01-30,73892.63,outflow,Kotak - Vendor Payments,Water Treatment Charges,FOOD-D2D411FC,operational cost
2025-02-13,15848.08,outflow,Kotak - Vendor Payments,Cold Chain Logistics,FOOD-0A3459E0,operational cost
2025-07-14,31617.58,outflow,SBI - Payroll Account,Cold Chain Logistics,FOOD-544E344A,operational cost
2025-10-23,88726.33,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-273918D8,client fees
2025-10-09,7457.15,outflow,SBI - Payroll Account,Cold Chain Logistics,FOOD-031615DA,operational cost
2025-11-23,77918.82,outflow,HDFC - Operations Account,Rice,FOOD-18ED24B2,raw materials
2025-11-17,107560.43,outflow,ICICI - Procurement Account,Packaging Staff Payroll,FOOD-B61F8DC5,workforce
2025-10-05,21290.69,outflow,SBI - Payroll Account,Line Supervisor Salary,FOOD-D40FD443,workforce
2026-01-08,74752.84,outflow,Axis - Sales Collection Account,Temporary Labour Wages,FOOD-C8F7AEEC,workforce
2025-04-10,95633.81,outflow,ICICI - Procurement Account,Cocoa Powder,FOOD-612A59C6,raw materials
2025-11-03,35294.98,outflow,ICICI - Procurement Account,Temporary Labour Wages,FOOD-C9A95F01,workforce
2025-04-22,103910.21,outflow,Kotak - Vendor Payments,Carton Boxes,FOOD-EDA48D43,raw materials
2025-05-07,343332.78,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-8A905482,client fees
2026-01-23,129232.85,inflow,ICICI - Procurement Account,Distributor Settlement,FOOD-202CA481,client fees
2025-04-16,62220.31,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-3896BB7E,workforce
2025-05-13,43110.07,outflow,HDFC - Operations Account,Salt,FOOD-50DE8BD2,raw materials
